pid,start1,end1,period1,start2,end2,period2,start1_refine,period1_refine,start2_refine,end2_refine,period2_refine
01,24,127,103,155,228,73,32,95,155,228,73
02,32,98,66,139,180,41,20,78,129,192,63
03,13,97,84,144,191,47,12,85,141,207,66
04,x,x,x,x,x,x,x,x,x,x,x
05,87,369,282,430,666,236,127,242,430,683,253
06,77,143,66,178,248,70,63,80,178,251,73
07,x,x,x,x,x,x,x,x,x,x,x
09,x,x,x,x,x,x,x,x,x,x,x
10,138,244,106,291,464,173,101,143,278,464,186
100,78,163,85,208,265,57,74,89,208,265,57
11,208,375,167,450,626,176,208,167,450,626,176
12,123,200,77,234,322,88,95,105,234,332,98
13,136,299,163,326,443,117,119,180,326,449,123
16,216,351,135,422,581,159,177,174,422,585,163
17,88,205,117,280,368,88,88,117,267,382,115
18,313,500,187,583,775,192,313,187,583,786,203
19,147,196,49,293,371,78,147,49,283,378,95
20,141,260,119,301,419,118,130,130,301,432,131
21,124,347,223,368,533,165,156,191,368,546,178
22,150,221,71,284,356,72,101,120,264,358,94
24,143,299,156,367,470,103,155,144,353,470,117
25,195,525,330,642,1050,408,229,296,642,1064,422
26,93,230,137,309,461,152,94,136,309,465,156
27,113,247,134,311,450,139,104,143,311,450,139
28,104,176,72,247,336,89,73,103,236,336,100
29,98,236,138,302,416,114,98,138,298,420,122
30,67,132,65,193,238,45,58,74,190,255,65
31,74,238,164,340,437,97,88,150,311,437,126
32,x,x,x,x,x,x,x,x,x,x,x
33,145,304,159,360,477,117,137,167,346,477,131
34,139,328,189,395,614,219,146,182,395,614,219
35,152,386,234,433,698,265,158,228,433,698,265
36,110,377,267,450,635,185,129,248,443,635,192
37,129,277,148,366,456,90,107,170,330,457,127
38,115,262,147,322,515,193,128,134,314,519,205
39,89,203,114,270,353,83,76,127,270,365,95
40,70,144,74,186,242,56,67,77,180,257,77
43,85,177,92,234,311,77,78,99,233,323,90
44,89,153,64,208,261,53,64,89,186,272,86
45,214,335,121,448,519,71,214,121,448,533,85
46,130,530,400,603,804,201,117,413,603,807,204
48,127,210,83,255,406,151,113,97,255,406,151
49,144,366,222,439,578,139,183,183,439,578,139
51,187,351,164,429,577,148,164,187,422,577,155
52,104,213,109,290,409,119,104,109,290,409,119
57,66,138,72,181,240,59,54,84,181,240,59
58,101,148,47,197,224,27,84,64,181,231,50
59,170,335,165,419,620,201,183,152,419,620,201
60,x,x,x,x,x,x,x,x,x,x,x
61,95,186,91,247,343,96,87,99,247,352,105
62,156,389,233,446,522,76,233,156,422,537,115
63,186,275,89,336,389,53,176,99,309,389,80
64,80,146,66,197,245,48,80,66,183,257,74
65,106,416,310,526,652,126,196,220,515,661,146
66,93,324,231,371,449,78,135,189,349,449,100
67,100,192,92,235,280,45,70,122,235,286,51
68,160,339,179,404,560,156,175,164,404,562,158
69,99,216,117,273,335,62,97,119,251,335,84
70,82,140,58,178,233,55,70,70,174,246,72
71,95,167,72,212,259,47,95,72,212,263,51
72,87,161,74,203,280,77,80,81,203,287,84
73,81,177,96,227,352,125,73,104,227,352,125
74,81,209,128,267,341,74,74,135,248,346,98
75,72,146,74,203,231,28,72,74,182,232,50
76,63,126,63,165,218,53,58,68,152,229,77
77,92,220,128,241,318,77,80,140,241,324,83
78,74,161,87,200,296,96,63,98,200,301,101
79,72,168,96,202,248,46,75,93,202,259,57
80,68,152,84,199,275,76,59,93,184,275,91
81,86,195,109,252,334,82,76,119,238,338,100
82,99,212,113,235,358,123,90,122,228,370,142
83,74,154,80,184,246,62,65,89,184,246,62
84,89,137,48,180,224,44,79,58,180,234,54
85,101,255,154,326,448,122,92,163,326,448,122
86,80,152,72,190,364,174,73,79,190,364,174
87,113,218,105,285,328,43,99,119,269,339,70
88,94,164,70,215,278,63,81,83,215,290,75
89,73,152,79,193,257,64,63,89,186,263,77
90,69,141,72,192,226,34,60,81,177,240,63
91,51,130,79,162,220,58,49,81,162,222,60
92,57,127,70,178,219,41,48,79,176,226,50
93,60,155,95,204,258,54,42,113,202,272,70
94,60,120,60,178,230,52,49,71,177,231,54
95,81,189,108,275,300,25,81,108,247,311,64
96,93,180,87,229,341,112,81,99,229,341,112
97,59,160,101,197,283,86,68,92,197,283,86
98,86,164,78,199,310,111,86,78,199,310,111
99,107,242,135,285,393,108,120,122,285,393,108
